datetime,datetime,open,high,low,close,volume,amount
2016-02-09 12:00:00,2016-02-09 12:00:00,1189.253,1190.523,1187.543,1188.853,9.99999999999e+11,0.0
2016-02-09 13:00:00,2016-02-09 13:00:00,1188.863,1191.603,1187.303,1191.253,9.99999999999e+11,0.0
2016-02-09 14:00:00,2016-02-09 14:00:00,1191.253,1196.713,1191.033,1196.273,9.99999999999e+11,0.0
2016-02-09 15:00:00,2016-02-09 15:00:00,1196.323,1198.763,1193.943,1198.033,9.99999999999e+11,0.0
2016-02-09 16:00:00,2016-02-09 16:00:00,1198.003,1198.033,1188.293,1189.113,9.99999999999e+11,0.0
2016-02-09 17:00:00,2016-02-09 17:00:00,1189.313,1195.653,1187.713,1195.033,9.99999999999e+11,0.0
2016-02-09 18:00:00,2016-02-09 18:00:00,1195.143,1195.553,1191.723,1195.163,9.99999999999e+11,0.0
2016-02-09 19:00:00,2016-02-09 19:00:00,1195.193,1197.563,1194.163,1196.963,9.99999999999e+11,0.0
2016-02-09 20:00:00,2016-02-09 20:00:00,1196.963,1198.823,1194.623,1194.703,9.99999999999e+11,0.0
2016-02-09 21:00:00,2016-02-09 21:00:00,1194.713,1195.503,1189.823,1190.413,9.99999999999e+11,0.0
2016-02-09 22:00:00,2016-02-09 22:00:00,1190.473,1191.403,1187.223,1187.513,9.99999999999e+11,0.0
2016-02-09 23:00:00,2016-02-09 23:00:00,1187.543,1189.483,1187.523,1188.873,9.99999999999e+11,0.0
2016-02-10 00:00:00,2016-02-10 00:00:00,1188.99,1188.99,1188.99,1188.99,9.99999999999e+11,0.0
2016-02-10 01:00:00,2016-02-10 01:00:00,1189.133,1190.003,1188.163,1189.083,9.99999999999e+11,0.0
2016-02-10 02:00:00,2016-02-10 02:00:00,1189.003,1191.833,1188.893,1191.613,9.99999999999e+11,0.0
2016-02-10 03:00:00,2016-02-10 03:00:00,1191.633,1193.293,1191.083,1193.063,9.99999999999e+11,0.0
2016-02-10 04:00:00,2016-02-10 04:00:00,1193.083,1194.313,1190.763,1191.003,9.99999999999e+11,0.0
2016-02-10 05:00:00,2016-02-10 05:00:00,1191.023,1192.213,1189.743,1190.833,9.99999999999e+11,0.0
2016-02-10 06:00:00,2016-02-10 06:00:00,1190.803,1192.063,1190.073,1191.283,9.99999999999e+11,0.0
2016-02-10 07:00:00,2016-02-10 07:00:00,1191.303,1191.823,1190.103,1191.133,9.99999999999e+11,0.0
2016-02-10 08:00:00,2016-02-10 08:00:00,1190.983,1191.443,1190.503,1190.733,9.99999999999e+11,0.0
2016-02-10 09:00:00,2016-02-10 09:00:00,1190.773,1190.773,1187.363,1187.753,9.99999999999e+11,0.0
2016-02-10 10:00:00,2016-02-10 10:00:00,1187.763,1190.173,1186.433,1186.583,9.99999999999e+11,0.0
2016-02-10 11:00:00,2016-02-10 11:00:00,1186.573,1186.793,1181.653,1181.943,9.99999999999e+11,0.0
2016-02-10 12:00:00,2016-02-10 12:00:00,1181.963,1184.373,1181.403,1182.293,9.99999999999e+11,0.0
2016-02-10 13:00:00,2016-02-10 13:00:00,1182.283,1184.543,1181.593,1182.313,9.99999999999e+11,0.0
2016-02-10 14:00:00,2016-02-10 14:00:00,1182.303,1184.153,1181.713,1183.433,9.99999999999e+11,0.0
2016-02-10 15:00:00,2016-02-10 15:00:00,1183.433,1191.513,1182.643,1187.423,9.99999999999e+11,0.0
2016-02-10 16:00:00,2016-02-10 16:00:00,1187.453,1193.533,1186.363,1190.453,9.99999999999e+11,0.0
2016-02-10 17:00:00,2016-02-10 17:00:00,1190.553,1192.433,1181.533,1192.123,9.99999999999e+11,0.0
2016-02-10 18:00:00,2016-02-10 18:00:00,1192.023,1194.443,1190.183,1192.773,9.99999999999e+11,0.0
2016-02-10 19:00:00,2016-02-10 19:00:00,1192.773,1194.793,1190.663,1191.763,9.99999999999e+11,0.0
2016-02-10 20:00:00,2016-02-10 20:00:00,1191.703,1194.473,1191.503,1191.933,9.99999999999e+11,0.0
2016-02-10 21:00:00,2016-02-10 21:00:00,1191.933,1193.563,1191.193,1193.563,9.99999999999e+11,0.0
